City,State,Pop,Size
Camarillo ,CA,"63,324",4
Kennewick ,WA,"63,216",4
Jackson ,TN,"63,158",4
Pico Rivera ,CA,"63,138",4
Davis ,CA,"62,593",4
Portland ,ME,"62,561",4
Victoria ,TX,"62,558",4
Janesville ,WI,"62,516",4
South San Francisco ,CA,"62,502",4
Hamilton ,OH,"62,477",4
Bossier City ,LA,"62,384",4
Cedar Park ,TX,"62,308",4
Kissimmee ,FL,"62,291",4
Springfield ,OH,"62,269",4
Renton ,WA,"62,266",4
Rancho Cordova ,CA,"62,265",4
Union City ,NJ,"62,183",4
Johnson City ,TN,"61,990",4
Montebello ,CA,"61,906",4
Coon Rapids ,MN,"61,832",4
Maple Grove ,MN,"61,542",4
San Clemente ,CA,"61,465",4
Warner Robins ,GA,"61,336",4
Lodi ,CA,"61,301",4
Haverhill ,MA,"61,275",4
Monterey Park ,CA,"61,234",4
Yuba City ,CA,"61,226",4
Eden Prairie ,MN,"61,191",4
Schenectady ,NY,"61,152",4
Shawnee ,KS,"60,954",4
Bristol ,CT,"60,927",4
Huntington Park ,CA,"60,898",4
Rockville ,MD,"60,734",4
Taylor ,MI,"60,619",4
Bismarck ,ND,"60,389",4
Encinitas ,CA,"60,372",4
St. Clair Shores ,MI,"60,364",4
Waltham ,MA,"60,236",4
Flagstaff ,AZ,"60,222",4
Revere ,MA,"60,204",4
Terre Haute ,IN,"60,007",4
Greenville ,SC,"59,988",4
Temple ,TX,"59,654",4
Council Bluffs ,IA,"59,536",4
Goodyear ,AZ,"59,508",4
Johns Creek ,GA,"59,431",4
North Little Rock ,AR,"59,430",4
West Allis ,WI,"59,416",4
Palo Alto ,CA,"59,395",4
Tamarac ,FL,"59,340",4
Great Falls ,MT,"59,251",4
Frederick ,MD,"59,213",4
Tinley Park,IL,"59,198",4
Meriden ,CT,"59,186",4
La Habra ,CA,"59,155",4
Burnsville ,MN,"59,139",4
Taylorsville ,UT,"58,785",4
Vineland ,NJ,"58,780",4
Gaithersburg ,MD,"58,744",4
National City ,CA,"58,680",4
Gardena ,CA,"58,554",4
Franklin ,TN,"58,481",4
Utica ,NY,"58,082",4
Homestead ,FL,"57,936",4
Conway ,AR,"57,544",4
Bayonne ,NJ,"57,448",4
White Plains ,NY,"57,342",4
Anderson ,IN,"57,282",4
Dubuque ,IA,"57,250",4
Diamond Bar ,CA,"57,235",4
Springfield ,OR,"57,224",4
Royal Oak ,MI,"57,110",4
Galveston ,TX,"57,086",4
Des Plaines ,IL,"57,062",4
Rocky Mount ,NC,"57,010",4
Lakewood ,WA,"56,983",4
